id,input,prediction,ground_truth
18,"في الاصابة بداء وحيدات النوى الخمجي كل ما يلي صحيح عدا: 
ا. يعتبر فيروس ايبشتايف بار EBV عامال"" محرضا"" لممفوما بوركيت في افريقي
ب. أكثر خطورة عند المصاب بفقر دـ بنقص الحديد
ج.  تمزؽ الطحاؿ ىو االختالط االكثر خطور
د. قد تؤدي الضخامة الشديدة في الموزتيف والعقد البمغمية المرافقة الى عسرة تنفسية شديدة
ه. الطفح ليس مف المظاىر النموذجية",ب,ب. أكثر خطورة عند المصاب بفقر دـ بنقص الحديد
19,"يختلف كامن فعل الليف العضلي القلبي عن كامن فعل الليف العقدي القلبي بما يلي عدا:
أ. القيمة السلبية القصوى التي يصل إليها كامن الغشاء
ب. قنوات الصوديوم السريعة المسؤولة عن زوال الاستقطاب
ج. المدة الزمنية لكامن الفعل
د. طور الستقرار",ب,ب. قنوات الصوديوم السريعة المسؤولة عن زوال الاستقطاب
20," اختر الاجابة الصحيحة:
أ. هرمون جارات الدرق يؤدي إلى زيادة الكالسيوم في الدم
ب. تملك حاطمات العظم مستقبلات لهرمون جارات الدرق على سطحها
ج. الكالسيتونين يزيد عملية التعظم عن طريق تثبيط نشاط حاطمات العظم
د. A+C
ه. كل ما سبق خطأ",د,"د. A+C
"
21,"مادة السورفاكتانت تنتج من:
أ. الخلايا السنخية نمط 1
ب. الخلايا السنخية نمط 2
ج. الشعيرات الدموية 
د. الاوعية اللمفية
ه. القصبات الثانوية
",ب,"ب. الخلايا السنخية نمط 2
"
22,"في النفث الدموي الحاد كل ما يلي صحيح ما عدا:

أ. لون الدم أسود  
ب. الـ PH قلوية  
ج. مصدره تحت الحبال الصوتية  
د. يترافق مع السعال  
هـ. يشاهد بالسل الكهفي  ",أ,أ. لون الدم أسود
23,"من الأدوية التي تزيد من صنع الغلوبيولين الرابط للتريوكسين:
أ. انسولين
ب. أسبرين
ج. بيرفينازون
د. كل ما سبق صحيح",د,ج. بيرفينازون
24,"هذا الجزء من الكظر تشتق خلاياه من العرف العصبي انه:
أ. الطبقة الحبيبية
ب. الطبقة الحزمية
ج. الطبقة الشبكية
د. لب الكظر
ه. محفظة الكظر ",د,"د. لب الكظر
"
25,"في مراحل نضج الرئتين تتشكل الاسناخ الاولية خلال:
أ. الفترة الغدية الكاذبة
ب. الفترة القنوية
ج. فترة الكيس الانتهائي
د. الفترة السنخية 
ه. خلال الثلثين الاخيرين للحمل",ج,"ج. فترة الكيس الانتهائي
"
26," كل ما يلي من الملحقات الجلدية ما عدا:
أ. الغدد المصلية الخارجية
ب. الأشعار
ج. الغدد المصلية العرقية
د. الغدد الدهنية",أ,"أ. الغدد المصلية الخارجية
"
27," كل مما يلي حول التهاب الكبد الخاطف صحيح ما عدا:
أ. يحدث غالباً خلال 8 أسابيع من الإصابة بالتهاب الكبد الحاد
ب. أهم الملامح السريرية هو دخول المريض في اعتلال دماغي
ج. احتمال البقاء على قيد الحياة عند حدوث السبات أقل من %20
د. يحدث عادة قصور قلبي مرافق لتخرب الخلايا الكبدية ",د,د. يحدث عادة قصور قلبي مرافق لتخرب الخلايا الكبدية 
28,"كل ما يلي صحيح عن التسمم الوشيقي:
أ. يصيب االنسان والحيوان
ب. يترافق مع ارتفاع حرارة مع بقاء المريض تام الوعي
ج. يترافق مع ازدواج رؤية
د. يترافق مع دوخة وعسر بلع
ه. تظهر اعراضه بعد 5 ساعات من تناول الطعام المسمم",ج,ب. يترافق مع ارتفاع حرارة مع بقاء المريض تام الوعي
29,"ما هي العيارات الصحيحة حول الوسيط نيتريك أوكسيد؟
أ. مثبطات الأنزيم المصنع تشمل المركبات (LNMMA) و (LNAME).
ب. منشطات الأنزيم المصنع تشمل نيتروغليسيرن و إيزوسوربيد.
ج. منشطات الأنزيم المصنع تشمل إيزوسوربيد داي تنرات و صوديوم نتروبروسيد.
د. مثبطات الأنزيم المصنع تشمل أحماض الهيموغلوبين وارتفاع الضغط الشرياني",أ,ب. منشطات الأنزيم المصنع تشمل نيتروغليسيرن و إيزوسوربيد
30," واحدة من العبارات التالية فيما يخص دور المهاد خاطئة:
أ. تمر جميع المسالك الحسية في أثناء سيرها نحو القشرة المخية الحديثة بالمهاد 
ب. للمهاد دور في الإدراك الفج للأحاسيس
ج. يمكن لحس الألم ان يدرك كليا في المهاد
د. المهاد مكان وجود عصبونات المرتبة الثالثة لجميع الأحاسيس",ج,"أ. تمر جميع المسالك الحسية في أثناء سيرها نحو القشرة المخية الحديثة بالمهاد 
"
31,"يشاهد التهاب البلغم مع توضع أغشية عليه وعلى اللوزتين في الإصابة بالأمراض التالية عدا:

ا. التهاب الحنجرة الرشحة الغدية (الإيبينوفيورس)  
ب. دفتريا البلغم  
ج. داء وحدات النوى الحمضي  
د. التهاب البلغم واللوزات بالعقديات  
هـ. التهاب البلغم واللوزات العقولي",ب,ا. التهاب الحنجرة الرشحة الغدية (الإيبينوفيورس)  
32," من طرق الوقاية من الجمرة الخبيثة:
أ. تجنب اكل اللحم النيء وغير المطبوخ جيدا
ب. حرق جثة الحيوان المصاب
ج. تلقيح الحيوان
د. كل ما سبق صحيح
ه. كل ما سبق خاطئ",د,د. كل ما سبق صحيح
33,"سرطان البروستات:  
أ. توضعه محيطي  
ب. توضعه مركزي  
ج. أعراضه باكرة  
د. لا يعطي نقائل  
هـ. كل ما سبق خطأ",أ,أ. توضعه محيطي
34,"المريطاء هي البقايا الجنينية ل: 
أ. السقاء
ب. القناة المحية المعوية
ج. قناة مولر
د. الحبال الجنسية البدئية
ه. الغدة التناسلية المحايدة  ",ج,"أ. السقاء
"
35,"مريض عمره 60 سنة كان يعمل بمنجم للفحم لمدة 20 سنة، راجع بسعال وزلة تنفسية، صورة الصدر أظهرت ارتشاحات خلالية، فحص القشع كان إيجابيًا لعصية كوخ، أي من العوامل الآتية قد يكون عاملًا مؤهبًا لإصابته بالتدرن:

أ. بيريليوم  
ب. كادميوم  
ج. الفحم  
د. السيليكا  
هـ. غبار المنزل  ",د,د. السيليكا
36,"ارتفاع التوتر الشرياني الحملي Gestational Hypertension:
أ. يحدث فيه التوتر الشرياني قبل الأسبوع ال20 من الحمل
ب. يترافق مع بيلة بروتينية
ج. يتراجع بعد 3 اسابيع من الولادة
د. هو تطور بيلة بروتينية عند سيدة لديها ارتفاع توتر شرياني مزمن
ه. كل ما سبق خطأ",ه,"ب. يترافق مع بيلة بروتينية
"
37,"المركب المستخدم في تدريب الاكتئاب والوسواس القهري هو:
أ. فنلزين
ب. الديكومارول
ج. تولبوتاميد
د. كاربامازيين
ه. فلوكسيتين",ه,ه. فلوكسيتين
38,"اختر الاجابة الخاطئة عن البوريليا:
أ. سبب داء اليم الذي ينتقل عبر الجهاز التنفسي
ب. جراثيم لولبية متحركة تتلون بسهولة بصبغة غيمزا
ج. تكون ذات لفات غير منتظمة والمسافة بين كل لفتين من 2 ل4 مكرون
د. تسبب الحمى الراجعة التي تنتقل عبر القمل
ه. تكون سبب خناق فنسان",أ,"أ. سبب داء اليم الذي ينتقل عبر الجهاز التنفسي
"
39,"في متلازمة WAGER نجد كل ما يلي ما عدا:
أ. غياب القرنية
ب. اختلاف عقلي
ج. شحمة أذن مشطورة
د. تشوه السبيل البولي
هـ. كل ما سبق صحيح",هـ,ج. شحمة أذن مشطورة
40,"قد يحدث التثدي لدى الذكر المصاب بـ:
أ. المراحل النهائية لسرطان البروستات
ب. المراحل النهائية لقصور الكلية
ج. المراحل النهائية للداء السكري
د. كل ما سبق خطأ",أ,د. كل ما سبق خطأ
41,"كل ما يلي صحيح عن اسواط الجراثيم ماعدا: 
أ. يكون السوط اطول من الخلية الجرثومية
ب. بعض الجراثيم لها سوط واحد وبعضها متعدد الاسواط
ج. تحوي مستضدات من النمط K
د. كل المكورات لها سياط
ه. تفيد السياط في التمييز بين السلمونيلا والشيغيلا",د,"ج. تحوي مستضدات من النمط K
"
42,"يؤدي تفعيل المكون الودي للجهاز العصبي المستقل إلى ما يلي عدا:
أ. ارتفاع الضغط الشرياني
ب. نقص جريان الدم نحو العضالت الهيكلية
ج. توسع حدقتي العينين
د. تفعيل التشكيل الشبكي الصاعد",ب,"ب. نقص جريان الدم نحو العضالت الهيكلية
"
43,"تمنع الهرمونات التالية تقويض البروتينات في الجسم عدا:
أ.الكورتيزول
ب. هرمونات الدرق T3 و T4 
ج. هرمون النمو
د. التستوستيرون",أ,"أ.الكورتيزول
"
44,"ما يلي حول التهاب الكبد الفريوسي B صحيح ما عدا:
ا. في المرحلة الحادة تظهر مستضدات (Ag HBs)
ب. في المرحلة المزمنة تظهر مستضدات (Ag HBe)
ج. جيب معايرة ALT كل 15 يوم طوال فترة ظهور الريقان
د. تعود قيم البيلريوبين إلى المستوى السوي خلال 3-1 أشهر",ب,"ب. في المرحلة المزمنة تظهر مستضدات (Ag HBe)
"
45,"تنشأ ظهارة المبطنة للمثانة البولية:
أ. اديم المتوسط الصفيحي الجانبي
ب. الاديم الباطن 
ج. الاديم المتوسط المجاور للمحور
د. الاديم المتوسط الوسطاني 
",ب,ب. الاديم الباطن
46,"من الإجرائات التي يجب اتخاذها في تدبير مريضة الارتجاع الحملي:
أ. إعطاء ناهيات المخاض
ب. إعطاء الديكساميتازون
ج. إعطاء الصادات
د. بزل السائل السلوي لنفي التشوهات الجنينية
ه. إنهاء الحمل",أ,ه. إنهاء الحمل
47,"وجد التفاغرات الشريانية الوريدية بغزارة في:
أ. أصابع اليدين والقدمين
ب. الأنف والأذن 
ج. الشفتين
د. كل ما سبق صحيح ",د,د. كل ما سبق صحيح 
48,"تؤدي العوامل التالية إلى نقص خروج السوائل من الشعيرات عدا:
أ. ارتفاع الضغط التناضحي الغرواني لبالزما الدم
ب. انخفاض الضغط التناضحي الغرواني لبالزما السائل الخلالي
ج. انخفاض ضغط السائل الخلالي
د. انخفاض ضغط الدم في الوعاء الشعيري",ب,"ج. انخفاض ضغط السائل الخلالي
"
49,"كل ما هو آت خاطئ في البنكرياس ما عدا:
أ. عدم احتوائه على الأقنية المخططة
ب. إفراز الهرمونات المنظمة للنمو
ج. غدة انبوبية مركبة
د. تصنيع الأنزيمات الهاضمة في جزر لانغرهانس",ب,أ. عدم احتوائه على الأقنية المخططة
50,"الصادات الحيوية التي تمنع تشكل الحموض النووية:
أ. ريفامبيسين
ب. حمض الديسكيك
ج. سبيروفلوكساسين
د. كل ما سبق صحيح
ه. كل ما سبق خطأ",أ,"د. كل ما سبق صحيح
"
51,"في بداية تشكل الجنس الاقنية المفرغة للجهاز البولي والتناسلي تفرغ في:
أ. قناة مولر
ب. قناة وولف
ج. المذرق
د. المريطاء
ه.  القناة المحية المعوية",ج,"ج. المذرق
"
52,"تؤدي الحالت اآلتية إلى ارتفاع الضغط النخماصي لألسناخ الرئوية ما عدا:
أ. نقص السورفاكتانت
ب. زيادة كمية الماء في الأسناخ 
ج. الشهيق الجهدي
د. الأسناخ صغيرة الحجم",ب,"ج. الشهيق الجهدي
"
53,"أشيع اختلاط لتشمع الكبد غير المعاوض هو:
أ. .القصور الكلوي الحاد
ب. التهاب المعثكلة الحاد
ج. القصور التنفسي
د. النزف من دوالي المري",د,د. النزف من دوالي المري
54,"الامراض التالية وبائية ماعدا:
أ. الحمى المالطية
ب. الحصبة
ج. الكوليرا
د. الانفلونزا
ه. الطاعون",ب,"أ. الحمى المالطية
"
55,"كل ما هو آت في بنية الانبوب الهضمي صحيح ما عدا: 
أ. يتكون من اربعة اقمصة اساسية
ب. يستر بظهارة اسطوانية ذات حافة ماصة
ج. غزير بالاوعية الدموية
د. يحتوي على غدد مختلفة خارجية الافراز
ه. تتكون المخاطية الخاصة فيه من نسيج ضام رخو",ه,ب. يستر بظهارة اسطوانية ذات حافة ماصة
56,"ما يلي حول التهاب الكبد الفريوسي A صحيح ما عدا:
أ. %2 من الحالات تتحول الى حامل مزمن  chronic carrier
ب. يتم الانتقال عن الطريق البرازي الفموي
ج. تكون الأعراض والعلامات في أغلب الأحيان معتدلة
د. مخبريا يمكن معايرة (HAV Ab IgG-IgM)",أ,"أ. %2 من الحالات تتحول الى حامل مزمن  chronic carrier
"
57,"في اصابات الجنب القيحية كل مما يلي صحيح في فحص سائل الجنب ما عدا:

أ. الألبومين أكثر من 30غ/لتر.  
ب. السكر 15 مغ/100 مل.  
ج. LDH 2000 وحدة/100 مل.  
د. الكريات البيضاء أقل من 10 بالساحة.  
هـ. الكريات الحمراء أكثر من 50 بالساحة.  ",د,هـ. الكريات الحمراء أكثر من 50 بالساحة
58," المنشأ الجنيني للصفن من:
أ. الطيات الاحليلية
ب. الحديبات التناسلية
ج. الطيات المذرقية
د. البصلات الجيبية المهبلية  
ه. التورمات التناسلية
",ه,"ه. التورمات التناسلية
"
59,"من علامات آذية العصب الناصف: أ. فقدان حركة الكب
ب. شلل ثلاثية الرؤوس
ج. هبوط المعصم
د. هبوط القدم
هـ. شلل الاستقلالية",ج," أ. فقدان حركة الكب
"
60,"ما هو صحيح في حالة انسداد الأمعاء المرافق للحمل:
أ. الإنسداد سببه غالبا الالتصاقات الناجمة عن جراحات سابقة
ب. يحدث غالبا خلال الثلث الأول من الحمل
ج. نجد هلال غازي تحت قبة الحجاب الحاجز في الصورة الشعاعية
د. عند التشخيص يجب فتح جراحيا فورا 
ه. تختلف المعالجة عند الحامل منها عند غير الحامل",أ,أ. الإنسداد سببه غالبا الالتصاقات الناجمة عن جراحات سابقة
61,"تقوم الكلية بالوظائف الغدية التالية عدا:
أ. صناعة هرمون الإريثروبويتين
ب. صناعة الألدوستيرون
ج. صناعة الرينين
د. تحويل مركب 1 - هيدروكسي كولي
كالسيفيرول إلى الشكل الفعال
للفيتامين D",ب,"ب. صناعة الألدوستيرون
"
62,"كل ما هو آت في بنية الشفاه خاطئ ماعدا:
أ. نميز فيها قسم جلدي خارجي وقسم داخلي مخاطي فقط 
ب.غياب القميص تحت المخاطي
ج. يوجد فيها عضلات مخططة مستديرة
د.يلاحظ نمو العضلية المخاطية في القسم المخاطي",ب,"ج. يوجد فيها عضلات مخططة مستديرة
"
63,"سبب طول مدة كامن الفعل في الليف العضلي القلبي هو:
أ. زيادة نفوذية الغشاء للكالسيوم و البوتاسيوم
ب. زيادة نفوذية الغشاء للصوديوم و البوتاسيوم
ج. زيادة نفوذية الغشاء للكالسيوم ونقص نفوذيته للبوتاسيوم
د. زيادة نفوذية الغشاء للصوديوم ونقص نفوذيته للبوتاسيوم",ج,"ج. زيادة نفوذية الغشاء للكالسيوم ونقص نفوذيته للبوتاسيوم
"
64,"كل ما يلي صحيح عن السبيل البصري ما عدا:
أ. يبدأ من التصالب البصري وينتهي في المركز البصري.
ب. يتكون من ألياف مصالبة وغير مصالبة.
ج. يحوي السبيل الأيمن ألياف النصف الصدغي للعين اليمنى
د. يحوي السبيل األيمن ألياف النصف اإلنسي للعين اليسرى
ه. يحوي السبيل الأيسر ألياف النصف الصدغي للعين اليسرى.",أ,أ. يبدأ من التصالب البصري وينتهي في المركز البصري.
65,"من أسباب الانصباب الرشح transudate:
أ. النزف
ب. الخباثات
ج. الانتانات
د. كل ما سبق خطأ",د,د. كل ما سبق خطأ
66,"لتشخيص ضمور العصب البصري كل مما يلي صحيح ما عدا:
أ. يمكن الاعتماد على فحص رؤية اللون
ب. في المراحل الباكرة يظهر شحوب خفيف في أحد أقسام العصب البصري
ج. تتأثر القدرة البصرية في جميع الحالات
د. يفيد تصوير الشبكية بالفلوريسين في التشخيص
ه. يفيد تخطيط الكمونات المحرضة بصريا في التشخيص ",ج,ج. تتأثر القدرة البصرية في جميع الحالات
67,"يتصف حماق الوليد بكل ما يلي عدا :
أ. يحدث الخمج البدئي داخل الحياة الرحمية
ب. تعتمد خطورة الأصابة عمى مقدار الأضداد الوالدية لفيروس الحماق
ج. قد يكون هذا الشكل مهددا للحياة
د. ينصح باستعمال الغلوبيولين المناعي (VZIG) لكل خديج مولود من مصابة بجدري فعال عند الولادة
ه. ينصح باستعمال الغلوبيولين المناعي لكل وليد من أم حدث لديها حماق قبل أو بعد الولادة بأسبوعين",ه,ه. ينصح باستعمال الغلوبيولين المناعي لكل وليد من أم حدث لديها حماق قبل أو بعد الولادة بأسبوعين
68," من المظاهر السريرية ملرض ضخامة النهايات ما عدا:
أ. صداع
ب. يصبح صوت المريض حاداً وناعما
ج. عصاب
د. زيادة في عرض القدم",ب,ب. يصبح صوت المريض حاداً وناعما
69,"كسور قاعدة الجمجمة: 
أ. يرافقها تسرب للسائل الدماغي الشوكي (CSF) 
ب. مكونة من كسور خطية 
ج. ثلاثة شظايا عظمية 
د. يرافقها تلف في الأعصاب القحفية 
هـ. كل ما سبق صحيح",هـ,هـ. كل ما سبق صحيح
70,"العضو الذي ينمو في الحاجز المستعرض:
أ. المعدة
ب. الكبد
ج. الطحال
د. الكلية
ه. كل ما سبق خاطئ",ه,"ب. الكبد
"
71," أحد هذه المفاهيم خاطئة فيما يتعلق
بالعضالت الهيكلية:
أ. يتطلب وصول كامن الفعل إلى جميع انحاء الليف العضلي وجود جهاز الأنابيب المستعرضة
ب. العامل الذي يسبب تحرر شوارد الكالسيوم من الشبكة الهيولية هو كامن الفعل
ج. يتطلب حدوث ارتباط المواقع الفعالة على خيط الأكتين مع رؤوس الميوزين وجود ATP
د. يمكن حدوث تقلص عضلي بدون حدوث قصر في القسيم العضلي ",د,"ج. يتطلب حدوث ارتباط المواقع الفعالة على خيط الأكتين مع رؤوس الميوزين وجود ATP
"
72,"يؤدي فقر الدم بنقص الحديد المرافق للحمل إلى الإختلاطات التالية ما عدا:
 أ. خطر الولادة الباكرة
 ب. خطر الإصابة بالهاب الوريد الخثري 
ج. خطر تألم جنين حاد 
د. خطر تألم جنين مزمن 
ه. خطر نقص نمو الجنين داخل الرحم",ب,ج. خطر تألم جنين حاد
73,"الحجز المريئي الرغامي يفصل بين:
أ. المري والبلعوم الانفي
ب. الانبوب الرغامي الحنجري والمري 
ج. المري والبلعوم الفموي
د. الانبوب الرغامي الحنجري والبلعوم الانفي
ه.  الانبوب الرغامي الحنجري والبلعوم الفموي",ب,"ب. الانبوب الرغامي الحنجري والمري 
"
74,"الصادات الحيوية التي تمنع تشكل الحموض النووية:
أ. ريفامبيسين
ب. حمض الديسكيك
ج. سبيروفلوكساسين
د. كل ما سبق صحيح",أ,د. كل ما سبق صحيح 
75,"يؤدي الداء السكري خلال الحمل إلى الاختلاطات الجنينية التالية ما عدا:
أ. وفاة الجنين
ب. شذوذات نمو الجنين
ج. شذوذات صبغية و خلقية
د. نقص سكر و كلس الجنين
ه. زيادة نسبة اليرقان عند الطفل حديث الولادة",ج,د. نقص سكر و كلس الجنين
76,"فيما يتعلق بزمن التضاعف (Doubling Time):

أ. الأورام الدموية لها زمن تضاعف أطول من الأورام الصلبة
ب. متوسط زمن التضاعف لأغلب الأورام هو 2-3 يوم
ج. يتطلب الورم 30 زمن تضاعف حتى يصبح بحجم 1 سم
د. يتطلب الورم 30 زمن تضاعف حتى ينمو من 1 غ إلى 1 كغ
هـ. ورم بقطر 1 سم يحتوي على مليون خلية",ج,ج. يتطلب الورم 30 زمن تضاعف حتى يصبح بحجم 1 سم
77,"المنشأ الجنيني لعضات الوجه الأرادية:
أ. الأديم المتوسط جانب المحور
ب. خلايا العرف العصبي
ج. لويحات الأديم الظاهر
د.  الإجابتان C+B
ه.  لا شيء مما سبق",ب,أ. الأديم المتوسط جانب المحور
78," في دبقوم العصب البصري كل مما يلي صحيح ما عدا:
أ. تنمو على حساب الجزء الدبقي من ألياف العصب البصري
ب. تنمو ببطء
ج. تخترق غلاف العصب البصري السحائي
د. لا تعطي انتقالات
ه. قد تؤدي إلى العمى",ه,ج. تخترق غلاف العصب البصري السحائي
79,"نجد في المسافات البابية ما عدا:
أ. أوعية لمفية وأعصاب
ب. شريان كبدي وفرع من وريد الباب
ج. وريد كبدي
د. قناة صفراوية ونسيج ضام",ج,ج. وريد كبدي
80,"تستطب الجراحة التلطيفية عند مرضى الأورام في حالات:
أ. نقص الشهية
ب. ارتفاع المعتدلات
ج. الغزو الورمي لنقي العظم
د. ارتفاع كلس الدم
هـ. الكسور المرضية",هـ,هـ. الكسور المرضية
81,"كل الفيروسات التالية يمكن أن تسبب التهاب سحايا عقيم عدا:

ا. حمة النكاف  
ب. الحمات المعوية (الكوساوي B)  
ج. حمة التهاب الكبد B  
د. حمة مثل الأطفال  
هـ. حمة العقبول",ج,ج. حمة التهاب الكبد B  
82,":الجلد في Merocrine Type Sweat Glands
أ. تصب اقنيتها المفرغة في الاجربة الشعرية
ب. تمتاز بان مفرزاتها لزجة
ج. تعتبر غدد مول في حواف الاجفان مثالا عليها كغدد عرقية معدلة
د. كل ما سبق صحيح
ه. كل ما سبق خطأ",ه,ه. كل ما سبق خطأ
83,"في تركيب الحصيات: أ. الإنتانية هي السيتروفيت
ب. غير الإنتانية هي كربونات الأبَاتيت
ج. الدوائية هي السيستين
د. الكازينتين غير وراثية
هـ. كل ما سبق صحيح",هـ, أ. الإنتانية هي السيتروفيت
84," كل مما يلي حول تشمع الكبد الالمُعاوض صحيح ما عدا:
أ. يحدث ارتفاع في الألبومين وانخفاض في الغاما غلوبولين
ب. درجة ارتفاع البيلريوبين تتناسب مع درجة قصور الخلية الكبدية
ج. يوجد لدى املرضى نقص خلايا شامل Pancytopenia
د. غالباً ما يزداد زمن الربوثرومبين",أ,"أ. يحدث ارتفاع في الألبومين وانخفاض في الغاما غلوبولين
"
85,"كل الصادات التالية تمنع تشكل جدار الخلية الجرثومية ماعدا:
أ. الفانكومايسين
ب. سيفادروكسيل
ج. اوغمنتين
د. جنتاميسين
ه. باستراسين ",د,د. جنتاميسين
86,"تفيد الجراحة الوقائية من السرطان في حالات:

أ. الداء الكيسي الليفي في الثدي
ب. الكلية متعددة الكيسات
ج. المبيض متعدد الكيسات
د. الداء الزلاقي
هـ. داء البوليبات العائلي",أ,هـ. داء البوليبات العائلي
